 ,要件ID,大分類,画面名,コンポーネント,誰向け,ユーザーストーリー,説明,受け入れ条件,マストか否か
休暇影響アラート,S-02-07,アラート,アラート一覧画面,アラートカード,"マネージャー, メンバー",代替を検討したい,タスクの担当者の休暇が進捗に影響する場合に通知,依存タスクが表示される,want
ドキュメント停滞アラート,S-02-08,アラート,アラート一覧画面,アラートカード,"マネージャー, メンバー","情報の属人化を防ぎたい
プロジェクトが渦中にある時に忙しくて後回しになりがちなため→黄アラートによってリマインド
メールにて該当者に送信される",一定期間ドキュメント更新がない場合に通知,指定日数経過で通知される,want
アサインアラート,S-02-09,アラート,アラート一覧画面,アラートカード,"マネージャー, メンバー",タスク作成時にアサインがまだ決まっておらず、誰もボールを持ててない→Issue作成した後に24h以内にアサインが決まんない場合アラートを発火,タスクのアサインが定まってない時に発火されるアラート,Issue作成後数時間後に担当者がいない場合アラート,want
アクションサジェスト,S-02-10,アラート,アラート一覧画面,アラートカード,"マネージャー, メンバー","アラート受信時に次に何をすべきか知りたい
アラートがメールなどを通して発火されるのを確認する→アラート一覧から確認→サジェストされているネクストアクションを確認し参考にする
",アラートに対して、システムが参照できる情報（稼働量、タスク量、身体・心理的コンディションなど）の情報をもとに状態改善のための行動案を提示,複数の対応案が表示される,want
不調検知,S-05-02,"アラート, コンディション",チーム一覧画面,一覧表示,"マネージャー, メンバー",マネージャー/メンバーが早めに不調に気づきたい,あるメンバーのサーベイの結果がチーム・PJ全体の平均より下に乖離している場合のアラート,一定基準以下でフラグ表示される,must
パルスサーベイ,S-05-01,コンディション,コンディション入力画面,入力フォーム,"マネージャー, メンバー",不調を伝えたい/把握したい,体調やメンタル状態を定期的に入力できる,"- 定期的に送信される
- 遅延の原因となる情報を得られる",must
Issue作成,S-03-01,Issue,Issue作成画面,入力フォーム,"マネージャー, メンバー","タスクを管理したい

pj詳細→進捗管理画面→Issue作成
Issue作成時に：
- チームタグ
- テンプレ選択（もとに色々詰め込む）",タスクをIssueとして登録できる,"- 必須項目が入力されないと登録できない
  - 必要項目：タイトル、期限、受け入れ条件、テンプレ選択、チームタグ
テンプレの中身ごとにまた記入に必要なIssueボディーが決まる
",must
アサイン設定,S-03-02,Issue,Issue作成画面/issue詳細画面/issue編集画面,セレクト,"マネージャー, メンバー","Issue一覧画面→Issue作成
誰がやるか明確にしたい",Issueに担当者を設定できる,単一または複数人を設定できる,must
テンプレ入力,S-03-03,Issue,Issue作成画面/issue詳細画面/issue編集画面,テンプレ,"マネージャー, メンバー",タスクの詳細を詳細に残したい,IssueをSMART形式で記載させる,テンプレ項目がすべて入力必須,must
受け入れ条件明示,S-03-04,Issue,Issue作成画面/issue詳細画面/issue編集画面,入力フォーム,"マネージャー, メンバー",タスクの受け入れ条件を明確にしたい,テストケースを完了条件として登録,完了条件が設定されていないと完了にできない,must
ステータス更新,S-03-05,Issue,Issue詳細画面/issue編集画面,ステータスUI,"マネージャー, メンバー",そのissueの進捗を共有したい,Issueの進捗ステータスを更新できる,未着手・進行中・完了が選択可能,must
サブタスク管理,S-03-06,Issue,Issue詳細画面/issue編集画面,リスト,"マネージャー, メンバー",作業を分解し、進捗を定量的に計れるようにしたい,Issue配下にサブタスクを作成できる,サブタスクを複数作成できる,must
進捗率自動算出,S-03-08,Issue,Issue詳細画面,ロジック,"マネージャー, メンバー",サブタスクをもとに定量的に進捗を知りたい,"見積時間ベースで進捗率を算出する
例）始める日時が2/1の12:00→終わり日時2/3の12:00
今が2/2の12時だと予定は50%終わる想定、タスクの受け入れ条件がどれだけチェック入ってるかが実際の進捗としてカウントされる（５個あって２個終わってる場合は40％がそのタスクの進捗率）
予実の差を計算し、15-25%ぐらい差がある場合に、後術するアラートを出す",サブタスク完了に応じて進捗率が更新される,must
予期せぬ作業登録,S-03-09,Issue,Issue詳細画面/issue編集画面,入力フォーム,"マネージャー, メンバー",作業漏れによる手戻りを進捗に組み込みたい,追加作業を簡単に登録できる,即時登録して工数に反映される,must
CI/CD連携,S-03-10,"Issue, システム",システム,自動処理,メンバー,手動更新を減らしたい,CI/CDの結果で進捗を自動更新する,成功・失敗に応じて自動反映される,want
チーム一覧,S-04-01,チーム,チーム一覧,一覧表示,マネージャー,管轄のチームをカードとして一覧化してみたい,マネージャーが自分の管轄のチームを一覧表示で確認できる画面,管轄しているチームが一覧表示できる,must
チーム一覧,S-04-02,チーム,チーム一覧,一覧表示,メンバー,所属しているチームをカードとして一覧化してみたい,メンバーが自分が所属しているチームを一覧表示で確認できる画面,所属しているチームが一覧表示できる,must
チーム詳細,S-04-03,チーム,チーム詳細,詳細,"マネージャー, メンバー","タブ２つ：

チームが持ってるpj一覧（初期表示タブ）：
ダッシュボード形式で持ってるpjがカードとして一覧化されている

メンバー一覧:
各メンバーがどれだけタスクを持ってるのか
- どのIssueを持っているのか
- 何ポイント保有しているのか
　- 完了したポイント、着手中のポイント、未着手ポイント（アサインされたけどまだやってない）
- チームメンバーの誰がビハインドなのか、pjが予定通りなのか
","チームの情報が確認できる画面

タブ２つ：

チームが持ってるpj一覧（初期表示タブ）：
ダッシュボード形式で持ってるpjがカードとして一覧化されている

メンバー一覧:
各メンバーがどれだけタスクを持ってるのか
- どのIssueを持っているのか
- 何ポイント保有しているのか
　- 完了したポイント、着手中のポイント、未着手ポイント（アサインされたけどまだやってない）
- チームメンバーの誰がビハインドなのか、pjが予定通りなのか",指定したチームの詳細が表示される,must
チーム作成,S-04-04,チーム, PJ新規作成画面 or PJ詳細画面/チーム作成画面,入力フォーム,マネージャー,マネージャー専用タブから→チーム作成ボタン→以下を記入してチームを作成（チーム名、メンバーを追加、pjをアサイン）->topに戻る→トースト（チームが作成されました！）,"チームを作成し、メンバーを追加、pjをアサインできる

マネージャー専用タブから→チーム作成ボタン→以下を記入してチームを作成（!チーム名、?メンバーを追加、?pjをアサイン）->topに戻る→トースト（チームが作成されました！）",必須項目のもとチームを作成できる,must
チームに招待,S-04-05,チーム,チーム詳細,招待ボタン,マネージャー,新しくメンバーをチームに迎えたい,チームにメンバーを招待できる,指定したメンバーを招待できる,must
PJ作成,S-05-01,PJ,PJ作成画面,PJ作成ボタン,マネージャー,新しく始まるPJを作成したい,マネージャーがpjを新規作成できる,必須項目のもとpjを作成できる,must
プロジェクト進捗一覧,S-05-02,PJ,プロジェクト進捗一覧,ガントチャート＋,"マネージャー, メンバー","全体状況を把握したい
各プロジェクトにあるタスクが予定通りなのかを確認したい
",ガントチャート上にタスクが常時されており、その各タスクは色によって進捗度がゲージのように確認できる。視覚的に、時間通りなのかそうでないのかを可視化するためのUIコンポーネント,"- 各タスクの進捗率が可視化されている
- 縦軸がチーム毎かtodo/wip/completedで表示されている
- 横軸が時間軸",must
チームをPJアサイン,S-05-03,PJ,チーム詳細,PJ追加ボタン,マネージャー,新しくまたは初期段階の時に、PJを担当するチームをアサインしたい,チームをpjにアサインできる,指定したメンバーをアサインできる,must
pj詳細,S-05-04,PJ,pj詳細画面,PJ,"マネージャー, メンバー","各PJで全体の進捗率、チームのタスク保有率、アラート一覧が見れる
",pjの詳細情報（pj概要、所属チーム、進捗）が確認できる,指定したpjの詳細が表示される,must
PJ編集,S-05-05,PJ,PJ編集画面,編集モーダル,"マネージャー, メンバー",PJ詳細の編集,PJの概要、タイトル、PJ自体の期日が乗ってる,指定したチームの詳細を編集できる,must
PJ更新,S-05-06,PJ,pj詳細,編集モーダル,マネージャー,PJの進行状況を明記したい,pjの完了時などのステータスを登録できる（完了・キャンセル・一時停止）,pjのステータスを更新できる,must
得意分野表示,S-06-01,プロフィール,プロフィール画面,タグ表示,"マネージャー, メンバー",誰に聞けばいいか知りたい,得意分野や相談先がわかる,得意分野がタグで表示される,must
プロフィール閲覧,S-06-02,プロフィール,プロフィール画面,詳細表示,"マネージャー, メンバー",誰が何をやっているか知りたい,メンバーのプロフィール情報を確認できる,他メンバーのプロフィールを閲覧できる,must
アサイン可視化,S-07-01,状況可視化,メンバー負荷画面,一覧表示,"マネージャー, メンバー",各メンバーの負荷を把握したい,各メンバーのアサイン数と工数を確認できる,人別にIssue数と工数が表示される,must
PJ進捗管理ボード,S-07-02,状況可視化,PJ詳細画面,PJ進捗管理ボード,"マネージャー, メンバー","- メンバーではトップページとして最初に表示される
- 参加しているPJの一覧画面",1つのpjにあるissueの進捗が一覧表示で確認できる,pjの進捗をissue単位で管理できる,must
レイアウト,S-08-01,レイアウト,トップページ,タブ切り替え,マネージャー,トップページ上から気になる情報にすぐアクセスできる,"Topページ（サイト訪問時に最初に表示されるページ）のヘッダーの下にタブ切り替えボタンが表示されている。
タブは左から：アラート一覧（デフォルト）、チーム管理、PJ進捗管理、サーベイ設定
",,want
レイアウト,S-08-02,レイアウト,トップページ,タブ切り替え,メンバー,トップページ上から気になる情報にすぐアクセスできる,"Topページ（サイト訪問時に最初に表示されるページ）のヘッダーの下にタブ切り替えボタンが表示されている。
タブは左から：アラート一覧（デフォルト）、チーム管理、PJ進捗管理、サーベイ回答",,want
